7, 3976,  276;
$9,  258,  601, HL’bš’’‚ŠÚj
$1,  835, 1190, 3105,  327;
$2, 2073, 2024, 1983,  165;
$3,17185,41223,17185,41223;
$4,23167,60799,58880,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1200,  836, 1200,  836;
$8, 2923, 3976, 3977,  276;
$9,  258,  592,  102,32201;
$1,  835, 1190, 3128,  322;
$2, 2072, 2022, 1985,  164;
$3,17185,41223,17185,41223;
$4,22399,60799,59136,  164;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1192,  832, 1192,  832;
$8, 2923, 3977, 3977,  275;
$9,  258,  606,  102,32201;
$1,  835, 1189, 3127,  323;
$2, 2073, 2015, 1988,  165;
$3,17185,41223,17185,41223;
$4,23423É‚’ÂºbªÂÂÂ‚bŠ²ªÚj
$5,65535,    1,53188,    0;
$6, 2237, 2069, 2237, 2069;
$7, 1195,  835, 1195,  835;
$8, 2919, 3977, 3976,  276;
$9,  258,  604,  102,32201;
$1,  835, 1189, 3125,  325;
$2, 2074, 2018, 1981,  165;
$3,17185,41223,17185,41223;
$4,22399,61055,57344,  165;
$5,65535,    1,53188,    0;
$6, 2237, 2069, 2237, 2069;
$7, 1200,  838, 1200,  838;
$8, 2919, 3977, 3977,  276;
$9,  258,  591,  102,32201;
$1,  835, 1188, 3109,  324;
$2, 2071, 2019, 1981,  164;
$3,17185,41223,17185,41223;
$4,22911,60799,58368,  164;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1189,  836, 1189,  836;
$8, 2928, 3976, 3976,  276;
$9,  247,  595,  102,32201;
$1,  834, 1190, 3123,  328;
$2, 2079, 2018, 1981,  165;
$3,17185,41223,17185,41223;
$4,23167,60287,59648,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1189,  832, 1189,  832;
$8, 2923, 3976, 3976,  276;
$9,  252,  598,  102,32201;
$1,  835, 1190, 3129,  326;
$2, 2071, 2015, 1983,  164;
$3,17185,41223,17185,41223;
$4,23423,59263,57856,  164;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1192,  835, 1192,  835;
$8, 2919, 3976, 3977,  276;
$9,  250,  600,  102,32201;
$1,  835, 1188, 3120,  326;
$2, 2079, 2018, 1987,  165;
$3,17185,41223,17185,41223;
$4,23423,60287,59392,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1195,  825, 1195,  825;
$8, 2918, 3977, 3977,  276;
$9,  257,  598,  102,32201;
$1,  835, 1189, 3121,  324;
$2, 2078, 2019, 1988,  165;
$3,17185,41223,17185,41223;
$4,23167,60031,58624,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1200,  835, 1200,  835;
$8, 2919, 3977, 3976,  275;
$9,  256,  602,  102,32201;
$1,  835, 1189, 3113,  323;
$2, 2077, 2024, 1980,  162;
$3,17185,41223,17185,41223;
$4,22911,60287,59904,  162;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1189,  832, 1189,  832;
$8, 2923, 3976, 3977,  276;
$9,  258,  601,  102,32201;
$1,  835, 1190, 3114,  326;
$2, 2078, 2015, 1981,  165;
$3,17185,41223,17185,41223;
$4,23423,60287,58880,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2070, 2236, 2070;
$7, 1193,  836, 1193,  836;
$8, 2926, 3977, 3977,  276;
$9,  254,  597,  102,32201;
$1,  835, 1187, 3117,  323;
$2, 2071, 2020, 1974,  164;
$3,17185,41223,17185,41223;
$4,23679,61055,59648,  164;
$5,65535,    1,53188,    0;
$6, 2237, 2069, 2237, 2069;
$7, 1193,  833, 1193,  833;
$8, 2919, 3977, 3976,  275;
$9,  258,  602,  102,32201;
$1,  834, 1187, 3119,  325;
$2, 2076, 2020, 1983,  168;
$3,17185,41223,17185,41223;
$4,22399,60543,58112,  168;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1198,  834, 1198,  834;
$8, 2932, 3977, 3976,  276;
$9,  248,  597,  102,32201;
$1,  835, 1190, 3118,  325;
$2, 2068, 2019, 1979,  162;
$3,17185,41223,17185,41223;
$4,24191,60287,58112,  162;
$5,65535,    1,53188,    0;
$6, 2237, 2069, 2237, 2069;
$7, 1190,  835, 1190,  835;
$8, 2927, 3976, 3976,  275;
$9,  251,  598,  102,32201;
$1,  835, 1187, 3108,  324;
$2, 2067, 2020, 1984,  165;
$3,17185,41223,17185,41223;
$4,22399,60799,59136,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2070, 2236, 2070;
$7, 1197,  834, 1197,  834;
$8, 2924, 3977, 3977,  276;
$9,  248,  598,  102,32201;
$1,  835, 1187, 3109,  326;
$2, 2073, 2015, 1985,  163;
$3,17185,41223,17185,41223;
$4,22911,59775,59648,  163;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1195,  831, 1195,  831;
