4, 2068, 2234, 2068;
$7, 1172,  8ÊbŠŠº’bÂ’ÊÚj
$8, 2918, 3976, 3976,  276;
$9,  256,  587,  102,32201;
$1,  833, 1168, 2102,  500;
$2, 2045, 2008, 1972,  175;
$3,64644,50024,64644,50024;
$4,23423,59007,58624,  175;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1172,  833, 1172,  833;
$8, 2919, 3975, 3976,  275;
$9,  256,  592,  102,32201;
$1,  833, 1167, 2191,  411;
$2, 2055, 2010, 1982,  175;
$3,64644,50024,64644,50024;
$4,23423,60799,57856,  175;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1169,  831, 1169,  831;
$8, 2915, 3975, 3976,  275;
$9,  257,  600,  102,32201;
$1,  834, 1166, 2083, $SªÚj
$2, 2058, 2008, 1978,  173;
$3,64644,50024,64644,50024;
$4,23423,60287,60160,  173;
$5,65535,    1,53188,    0;
$6, 2234, 2066, 2234, 2066;
$7, 1176,  831, 1176,  831;
$8, 2919, 3976, 3975,  275;
$9,  256,  598,  102,32201;
$1,  834, 1166, 2105,  497;
$2, 2056, 2008, 1976,  176;
$3,64644,50024,64644,50024;
$4,23423,59263,58880,  176;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1168,  830, 1168,  830;
$8, 2920, 3975, 3976,  275;
$9,  247,  598,  102,32201;
$1,  833, 1166, 2099,  495;
$2, 2055, 2007, 1970,  176;
$3,64644,50024,64644,50024;
$4,22911,60031,58880,  176;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1169,  833, 1169,  833;
$8, 2919, 3976, 3976,  275;
$9,  257,  594,  102,32201;
$1,  834, 1166, 2099,  497;
$2, 2053, 2011, 1977,  172;
$3,64644,50024,64644,50024;
$4,23423,60287,57856,  172;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1176,  828, 1176,  828;
$8, 2918, 3976, 3975,  275;
$9,  256,  591,  102,32201;
$1,  834, 1168, 2091,  495;
$2, 2051, 2010, 1977,  177;
$3,64644,50024,64644,50024;
$4,23423,60287,59136,  177;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1176,  828, 1176,  828;
$8, 2919, 3976, 3975,  275;
$9,  253,  591,  102,32201;
$1,  833, 1168, 2094,  497;
$2, 2062, 2009, 1970,  175;
$3,64644,50024,64644,50024;
$4,23423,60287,59392,  175;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1171,  835, 1171,  835;
$8, 2919, 3976, 3977,  276;
$9,  255,  593,  102,32201;
$1,  833, 1165, 2133,  492;
$2, 2063, 2007, 1971,  177;
$3,64644,50024,64644,50024;
$4,23167,59775,59904,  177;
$5,65535,    1,53188,    0;
$6, 2233, 2067, 2233, 2067;
$7, 1173,  831, 1173,  831;
$8, 2919, 3976, 3976,  275;
$9,  258,  592,  102,32201;
$1,  833, 1166, 2105,  497;
$2, 2056, 2010, 1977,  175;
$3,64644,50024,64644,50024;
$4,22399,60287,58624,  175;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1177,  835, 1177,  835;
$8, 2919, 3976, 3976,  275;
$9,  255,  589,  102,32201;
$1,  833, 1167, 2100,  495;
$2, 2056, 2008, 1975,  175;
$3,64644,50024,64644,50024;
$4,23679,60287,58880,  175;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1164,  831, 1164,  831;
$8, 2923, 3976, 3975,  276;
$9,  258,  600,  102,32201;
$1,  834, 1167, 2104,  497;
$2, 2046, 2008, 1971,  174;
$3,64644,50024,64644,50024;
$4,23935,59775,59136,  174;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1174,  824, 1174,  824;
$8, 2932, 3976, 3975,  276;
$9,  248,  593,  102,32201;
$1,  834, 1166, 2186,  408;
$2, 2049, 2009, 1980,  177;
$3,64644,50024,64644,50024;
$4,23167,60287,59136,  177;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1176,  832, 1176,  832;
$8, 2923, 3976, 3976,  275;
$9,  252,  595,  102,32201;
$1,  834, 1167, 2105,  496;
$2, 2063, 2007, 1976,  176;
$3,64644,50024,64644,50024;
$4,22399,60287,58112,  176;
$5,65535,    1,53188,    0;
$6, 2233, 2068, 2233, 2068;
$7, 1170,  832, 1170,  832;
$8, 2923, 3976, 3977,  276;
$9,  254,  591,  102,32201;
$1,  834, 1167, 2161,  497;
$2, 2055, 2009, 1970,  174;
$3,64644,50024,64644,50024;
$4,22399,60799,58880,  174;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1176,  830, 1176,  830;
$8, 2919, 3976, 3976,  275;
$9,  258,  593,  102,32201;
$1,  834, 1166, 2119,  495;
$2, 2057, 2011, 1979,  175;
$3,64644,50024,64644,50024;
$4,23167,60543,58880,  175;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1177,  834, 1177,  834;
$8, 2924, 3977, 3976,  276;
$9,  248,  579,  102,32201;
$1,  834, 1167, 2090,  501;
$2, 2057, 2004, 1975,  174;
$3,64644,50024,64644,50024;
$4,22399,60799,59136,  174;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1168,  832, 1168,  832;
$8, 2928, 3976, 3976,  275;
$9,  246,  593,  102,32201;
$1,  834, 1166, 2071,  495;
$2, 2058, 2006, 1974,  173;
$3,64644,50024,64644,50024;
$4,22911,60031,58624,  173;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1174,  828, 1174,  828;
$8, 2934, 3975, 3976,  275;
$9,  257,  589,  102,32201;
$1,  834, 1166, 2113,  498;
$2, 2052, 2008, 1977,  174;
$3,64644,50024,64644,50024;
$4,22399,60031,57856,  174;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1176,  827, 1176,  827;
$8, 2919, 3976, 3976,  276;
$9,  257,  594,  102,32201;
$1,  834, 1166, 2117,  490;
$2, 2061, 2011, 1976,  175;
$3,64644,50024,64644,50024;
$4,23167,60031,58368,  175;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1169,  833, 1169,  833;
$8, 2919, 3975, 3976,  275;
$9,  257,  591,  102,32201;
$1,  834, 1166, 2107,  496;
$2, 2060, 2008, 1974,  175;
$3,64644,50024,64644,50024;
$4,22399,60543,58880,  175;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1168,  833, 1168,  833;
$8, 2919, 3976, 3976,  275;
$9,  256,  593,  102,32201;
$1,  834, 1167, 2097,  495;
$2, 2057, 2006, 1976,  176;
$3,64644,50024,64644,50024;
$4,22911,60031,58112,  176;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1169,  833, 1169,  833;
$8, 2919, 3976, 3976,  275;
$9,  252,  597,  102,32201;
$1,  834, 1167, 2098,  496;
$2, 2052, 2005, 1978,  175;
$3,64644,50024,64644,50024;
$4,22399,60799,58880,  175;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1174,  833, 1174,  833;
$8, 2930, 3976, 3976,  276;
$9,  256,  585,  102,32201;
$1,  834, 1167, 2209,  406;
$2, 2057, 2010, 1977,  173;
$3,64644,50024,64644,50024;
$4,22399,60287,58368,  173;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1176,  833, 1176,  833;
$8, 2919, 3975, 3976,  275;
$9,  257,  596,  102,32201;
$1,  834, 1167, 2107,  496;
$2, 2060, 2011, 1984,  178;
$3,64644,50024,64644,50024;
$4,23423,59775,59136,  178;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1170,  833, 1170,  833;
$8, 2930, 3976, 3976,  276;
$9,  250,  590,  102,32201;
$1,  834, 1166, 2122,  496;
$2, 2058, 2005, 1972,  174;
$3,64644,50024,64644,50024;
$4,23167,60031,58112,  174;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1174,  827, 1174,  827;
$8, 2927, 3975, 3976,  276;
$9,  257,  592,  102,32201;
$1,  834, 1166, 2113,  493;
$2, 2056, 2012, 1979,  175;
$3,64644,50024,64644,50024;
$4,21887,60031,58368,  175;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
